Data type,Cancer group/site,Year,Sex,Age group (years),Count,"Age-specific rate (per 100,000)","Age-standardised rate 2001 Australian Standard Population (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)","Age-standardised rate  (WHO) (per 100,000)","Age-standardised rate  (Segi) (per 100,000)",Column L,ICD10 codes,Age group code
Actual,Melanoma of the skin,1972,Persons,75–79,14,6.8,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1972,Persons,80–84,15,12,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1972,Persons,85–89,4,7.7,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1972,Persons,90+,3,17.1,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1972,Persons,All ages combined,369,2.8,3.5,4,2.8,2.6,NULL,C43,20
Actual,Melanoma of the skin,1973,Females,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1973,Females,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1973,Females,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
Actual,Melanoma of the skin,1973,Females,15–19,4,0.7,NULL,NULL,NULL,NULL,NULL,C43,4
Actual,Melanoma of the skin,1973,Females,20–24,3,0.5,NULL,NULL,NULL,NULL,NULL,C43,5
Actual,Melanoma of the skin,1973,Females,25–29,4,0.8,NULL,NULL,NULL,NULL,NULL,C43,6
Actual,Melanoma of the skin,1973,Females,30–34,8,1.9,NULL,NULL,NULL,NULL,NULL,C43,7
Actual,Melanoma of the skin,1973,Females,35–39,5,1.3,NULL,NULL,NULL,NULL,NULL,C43,8
Actual,Melanoma of the skin,1973,Females,40–44,12,3.2,NULL,NULL,NULL,NULL,NULL,C43,9
Actual,Melanoma of the skin,1973,Females,45–49,19,4.9,NULL,NULL,NULL,NULL,NULL,C43,10
Actual,Melanoma of the skin,1973,Females,50–54,22,6.1,NULL,NULL,NULL,NULL,NULL,C43,11
Actual,Melanoma of the skin,1973,Females,55–59,10,3.2,NULL,NULL,NULL,NULL,NULL,C43,12
Actual,Melanoma of the skin,1973,Females,60–64,19,6.7,NULL,NULL,NULL,NULL,NULL,C43,13
Actual,Melanoma of the skin,1973,Females,65–69,18,8,NULL,NULL,NULL,NULL,NULL,C43,14
Actual,Melanoma of the skin,1973,Females,70–74,14,7.8,NULL,NULL,NULL,NULL,NULL,C43,15
Actual,Melanoma of the skin,1973,Females,75–79,9,7,NULL,NULL,NULL,NULL,NULL,C43,16
Actual,Melanoma of the skin,1973,Females,80–84,6,7.2,NULL,NULL,NULL,NULL,NULL,C43,17
Actual,Melanoma of the skin,1973,Females,85–89,2,5.4,NULL,NULL,NULL,NULL,NULL,C43,18
Actual,Melanoma of the skin,1973,Females,90+,0,0,NULL,NULL,NULL,NULL,NULL,C43,19
Actual,Melanoma of the skin,1973,Females,All ages combined,155,2.3,2.7,3.1,2.2,2.1,NULL,C43,20
Actual,Melanoma of the skin,1973,Males,00–04,0,0,NULL,NULL,NULL,NULL,NULL,C43,1
Actual,Melanoma of the skin,1973,Males,05–09,0,0,NULL,NULL,NULL,NULL,NULL,C43,2
Actual,Melanoma of the skin,1973,Males,10–14,0,0,NULL,NULL,NULL,NULL,NULL,C43,3
