state,year,sex,cases
Victoria,2006,Persons,2194.0
Queensland,2006,Persons,2515.0
Western Australia,2006,Persons,1093.0
South Australia,2006,Persons,625.0
Tasmania,2006,Persons,251.0
Australian Capital Territory,2006,Persons,133.0
Northern Territory,2006,Persons,48.0
New South Wales,2007,Females,1420.0
Victoria,2007,Females,986.0
Queensland,2007,Females,1127.0
Western Australia,2007,Females,411.0
South Australia,2007,Females,280.0
Tasmania,2007,Females,110.0
Australian Capital Territory,2007,Females,59.0
Northern Territory,2007,Females,20.0
New South Wales,2007,Males,2127.0
Victoria,2007,Males,1188.0
Queensland,2007,Males,1592.0
Western Australia,2007,Males,576.0
South Australia,2007,Males,342.0
Tasmania,2007,Males,127.0
Australian Capital Territory,2007,Males,72.0
Northern Territory,2007,Males,30.0
New South Wales,2007,Persons,3547.0
Victoria,2007,Persons,2174.0
Queensland,2007,Persons,2719.0
Western Australia,2007,Persons,987.0
South Australia,2007,Persons,622.0
Tasmania,2007,Persons,237.0
Australian Capital Territory,2007,Persons,131.0
Northern Territory,2007,Persons,50.0
New South Wales,2008,Females,1489.0
Victoria,2008,Females,981.0
Queensland,2008,Females,1196.0
Western Australia,2008,Females,425.0
South Australia,2008,Females,325.0
Tasmania,2008,Females,114.0
Australian Capital Territory,2008,Females,62.0
Northern Territory,2008,Females,20.0
New South Wales,2008,Males,2154.0
Victoria,2008,Males,1247.0
Queensland,2008,Males,1773.0
Western Australia,2008,Males,661.0
South Australia,2008,Males,413.0
Tasmania,2008,Males,163.0
Australian Capital Territory,2008,Males,76.0
Northern Territory,2008,Males,29.0
New South Wales,2008,Persons,3643.0
Victoria,2008,Persons,2228.0
Queensland,2008,Persons,2969.0
Western Australia,2008,Persons,1086.0
South Australia,2008,Persons,738.0
Tasmania,2008,Persons,277.0
Australian Capital Territory,2008,Persons,139.0
Northern Territory,2008,Persons,49.0
New South Wales,2009,Females,1534.0
Victoria,2009,Females,1047.0
Queensland,2009,Females,1267.0
Western Australia,2009,Females,399.0
South Australia,2009,Females,289.0
Tasmania,2009,Females,115.0
Australian Capital Territory,2009,Females,57.0
Northern Territory,2009,Females,20.0
New South Wales,2009,Males,2190.0
Victoria,2009,Males,1333.0
Queensland,2009,Males,1786.0
Western Australia,2009,Males,640.0
South Australia,2009,Males,381.0
Tasmania,2009,Males,160.0
Australian Capital Territory,2009,Males,77.0
Northern Territory,2009,Males,30.0
New South Wales,2009,Persons,3724.0
Victoria,2009,Persons,2380.0
Queensland,2009,Persons,3053.0
Western Australia,2009,Persons,1039.0
South Australia,2009,Persons,670.0
Tasmania,2009,Persons,275.0
Australian Capital Territory,2009,Persons,135.0
Northern Territory,2009,Persons,50.0
New South Wales,2010,Females,1563.0
Victoria,2010,Females,972.0
Queensland,2010,Females,1270.0
Western Australia,2010,Females,389.0
South Australia,2010,Females,313.0
Tasmania,2010,Females,134.0
Australian Capital Territory,2010,Females,50.0
Northern Territory,2010,Females,21.0
New South Wales,2010,Males,2335.0
Victoria,2010,Males,1304.0
Queensland,2010,Males,1847.0
Western Australia,2010,Males,650.0
South Australia,2010,Males,386.0
Tasmania,2010,Males,158.0
Australian Capital Territory,2010,Males,74.0
Northern Territory,2010,Males,32.0
New South Wales,2010,Persons,3898.0
Victoria,2010,Persons,2276.0
Queensland,2010,Persons,3117.0
Western Australia,2010,Persons,1039.0
South Australia,2010,Persons,699.0
Tasmania,2010,Persons,292.0
Australian Capital Territory,2010,Persons,124.0
Northern Territory,2010,Persons,53.0
New South Wales,2011,Females,1616.0
Victoria,2011,Females,900.0
Queensland,2011,Females,1381.0
Western Australia,2011,Females,449.0
South Australia,2011,Females,290.0
Tasmania,2011,Females,129.0
Australian Capital Territory,2011,Females,48.0
Northern Territory,2011,Females,22.0
