Data type,Cancer group/site,Year,Sex,State or Territory,Count,"Age-standardised rate 2001 Australian Standard Population  (per 100,000)","Age-standardised rate 2023 Australian population  (per 100,000)",Column I,ICD-10 codes,Column K,Column L
Incidence,Melanoma of the skin,1988,Persons,Queensland,1368,56,62.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,Western Australia,548,42,47.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,South Australia,458,34.9,38.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,Tasmania,130,31.8,35.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,Australian Capital Territory,76,37.3,40.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,Northern Territory,17,17,18.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1988,Persons,Australia,6019,40.2,45.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,New South Wales,892,31.9,35.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Victoria,561,27,30,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Queensland,638,49.5,54.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Western Australia,222,31.3,34.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,South Australia,199,28.4,30.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Tasmania,62,27.3,29.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Australian Capital Territory,38,34.6,36.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Northern Territory,8,15.3,16.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Females,Australia,2617,32.9,36.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,New South Wales,1215,48.3,56.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Victoria,548,29.9,35.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Queensland,746,62.8,72.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Western Australia,263,41.9,49.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,South Australia,236,38.7,45.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Tasmania,53,28.1,32.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Australian Capital Territory,41,42,46.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Northern Territory,11,18.8,20.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Males,Australia,3109,43.7,51.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,New South Wales,2107,39,44.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Victoria,1109,27.9,31.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Queensland,1384,55.4,62.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Western Australia,485,35.9,41.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,South Australia,435,32.4,36.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Tasmania,115,27.2,29.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Australian Capital Territory,79,37.8,40.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Northern Territory,19,17.7,19.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1989,Persons,Australia,5726,37.4,42.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,New South Wales,944,33.1,36.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Victoria,522,24.9,27.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Queensland,630,47.3,52.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Western Australia,216,31,34.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,South Australia,247,34,38.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Tasmania,85,38,42,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Australian Capital Territory,38,34.2,36.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Northern Territory,9,15.1,15.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Females,Australia,2687,33.1,37,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,New South Wales,1168,46.8,55.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Victoria,579,31.4,36.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Queensland,765,62.9,73.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Western Australia,297,45.9,53.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,South Australia,221,33.6,37.3,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Tasmania,66,32.1,36.9,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Australian Capital Territory,42,44.6,50.8,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Northern Territory,13,25.7,28.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Males,Australia,3151,43.7,51.1,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,New South Wales,2112,38.9,44.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,Victoria,1101,27.6,31.4,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,Queensland,1395,54.1,61.6,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,Western Australia,513,37.8,43.5,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,South Australia,468,33.9,38,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,Tasmania,151,34.8,39.2,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,Australian Capital Territory,80,38.6,42.7,NULL,C43,NULL,NULL
Incidence,Melanoma of the skin,1990,Persons,Northern Territory,22,20.9,22.9,NULL,C43,NULL,NULL
